Nombre	Precio	Categoría
COSTILLA MADURADA X KG	48950.00	Carne Vacuna y Porcina
CORTE PROPIETARIO X KG	54950.00	Carne Vacuna y Porcina
CORAZON DE VACIO x K	58950.00	Carne Vacuna y Porcina
MILANESA ESPECIAL AL VACIO NEULAND x KG- RF.1167..	87500.00	Carne Vacuna y Porcina
MATAMBRITO DE CERDO COND. EL CHAQUEÑO GRANEL X KG	57300.00	Carne Vacuna y Porcina
CARNE MOLIDA POPULAR CHORTI CONG. X 500GR	22500.00	Carne Vacuna y Porcina
CARNE MOLIDA CHORTI PREMIUM CONG. 500GR	26250.00	Carne Vacuna y Porcina
PATITAS PECHUGON IQF FAMILIAR X KG REF.5145	21950.00	Aves
CARNE MOLIDA EFEGE 450G	14250.00	Carne Vacuna y Porcina
MUSLO IQF PECHUGON FAMILIAR X KG REF.5141	19000.00	Aves
ALA IQF PECHUGON FAMILIAR X KG REF. 8282	21950.00	Aves
CADERITA IQF PECHUGON FAMILIAR X KG REF. 5140	17700	Aves
PECHUGA IQF PECHUGON FAMILIAR X KG REF.8274	18950.00	Aves
PATO CONGELADO VILLA GERMANIA SIN MENUDENCIAS x K	63900.00	Aves
FILETES CONGELADOS CONCEPCION IQF 800 GR	44300	Carne Vacuna y Porcina
TAPA CUADRIL PAMPA GOLD E/V X KG	118350.00	Carne Vacuna y Porcina
COSTELETA DE CERDO GOLDPIG E/V X KG	57950.00	Carne Vacuna y Porcina
TOMAHAK X KG	55950.00	Carne Vacuna y Porcina
CARNE MOLIDA CONGELADA HETEREI CONDIMENTADA  500	10000.00	Carne Vacuna y Porcina
CARACU PARRILLERO NEULAND X KG	10800.00	Carne Vacuna y Porcina
